Time - V_S	Amplitude - V_S	Time - V_L	Amplitude - V_L
0,000588	4,29978	0,000588	2,80715
0,00059	2,03539	0,00059	-0,0749949
0,000592	-1,00586	0,000592	-2,91975
0,000594	-3,6857	0,000594	-4,66778
0,000596	-4,98794	0,000596	-4,65296
0,000598	-4,40301	0,000598	-2,86661
0,0006	-2,16701	0,0006	-0,00252298
0,000602	0,873905	0,000602	2,85868
0,000604	3,57665	0,000604	4,64185
0,000606	4,90662	0,000606	4,66182
0,000608	4,36484	0,000608	2,90539
0,00061	2,14877	0,00061	0,0493347
0,000612	-0,885391	0,000612	-2,81926
0,000614	-3,59584	0,000614	-4,6288
0,000616	-4,96056	0,000616	-4,68678
0,000618	-4,4597	0,000618	-2,96775
0,00062	-2,27878	0,00062	-0,128141
0,000622	0,751186	0,000622	2,75851
0,000624	3,49001	0,000624	4,6003
0,000626	4,8902	0,000626	4,6979
0,000628	4,41992	0,000628	3,00266
0,00063	2,26183	0,00063	0,17302
0,000632	-0,765571	0,000632	-2,71844
0,000634	-3,50726	0,000634	-4,58661
0,000636	-4,94704	0,000636	-4,72189
0,000638	-4,51381	0,000638	-3,06599
0,00064	-2,3854	0,00064	-0,247961
0,000642	0,630399	0,000642	2,65576
0,000644	3,40014	0,000644	4,55714
0,000646	4,86862	0,000646	4,73108
0,000648	4,47822	0,000648	3,10058
0,00065	2,36941	0,00065	0,294129
0,000652	-0,634478	0,000652	-2,61827
0,000654	-3,41772	0,000654	-4,53894
0,000656	-4,92385	0,000656	-4,7541
0,000658	-4,57083	0,000658	-3,15875
0,00066	-2,50199	0,00066	-0,370036
0,000662	0,504781	0,000662	2,55172
0,000664	3,30963	0,000664	4,5143
0,000666	4,83769	0,000666	4,75942
0,000668	4,52364	0,000668	3,19399
0,00067	2,48473	0,00067	0,417492
0,000672	-0,512403	0,000672	-2,51262
0,000674	-3,32753	0,000674	-4,49545
0,000676	-4,89711	0,000676	-4,78051
0,000678	-4,62526	0,000678	-3,25216
0,00068	-2,61118	0,00068	-0,492433
0,000682	0,382384	0,000682	2,44414
0,000684	3,21396	0,000684	4,46308
0,000686	4,82481	0,000686	4,78551
0,000688	4,57228	0,000688	3,28579
0,00069	2,58651	0,00069	0,537635
0,000692	-0,386141	0,000692	-2,40311
0,000694	-3,22929	0,000694	-4,44521
0,000696	-4,86393	0,000696	-4,80789
0,000698	-4,67132	0,000698	-3,34267
0,0007	-2,71232	0,0007	-0,615474
0,000702	0,257088	0,000702	2,34075
0,000704	3,11637	0,000704	4,41122
0,000706	4,78841	0,000706	4,80935
0,000708	4,62736	0,000708	3,37598
0,00071	2,6957	0,00071	0,660998
0,000712	-0,266643	0,000712	-2,29875
0,000714	-3,13137	0,000714	-4,39528
0,000716	-4,8343	0,000716	-4,82979
0,000718	-4,7148	0,000718	-3,4306
0,00072	-2,81572	0,00072	-0,737227
0,000722	0,132114	0,000722	2,23123
0,000724	3,02102	0,000724	4,3584
0,000726	4,75266	0,000726	4,83125
0,000728	4,66537	0,000728	3,46166
0,00073	2,79298	0,00073	0,78404
0,000732	-0,145534	0,000732	-2,18859
0,000734	-3,03539	0,000734	-4,33698
0,000736	-4,8037	0,000736	-4,84622
0,000738	-4,75507	0,000738	-3,51692
0,00074	-2,92072	0,00074	-0,857691
0,000742	0,00295268	0,000742	2,12172
0,000744	2,92021	0,000744	4,30106
0,000746	4,72141	0,000746	4,84768
0,000748	4,70499	0,000748	3,54992
0,00075	2,89863	0,00075	0,903538
0,000752	-0,0234593	0,000752	-2,08069
0,000754	-2,93489	0,000754	-4,279
0,000756	-4,76183	0,000756	-4,86426
0,000758	-4,79501	0,000758	-3,60614
0,00076	-3,02218	0,00076	-0,976867
0,000762	-0,113002	0,000762	2,01092
0,000764	2,81907	0,000764	4,24083
0,000766	4,6702	0,000766	4,86217
0,000768	4,74106	0,000768	3,63302
0,00077	3,00073	0,00077	1,02207
0,000772	0,10087	0,000772	-1,96925
0,000774	-2,83697	0,000774	-4,2207
0,000776	-4,72125	0,000776	-4,87553
0,000778	-4,83011	0,000778	-3,68634
0,00078	-3,11301	0,00078	-1,0983
0,000782	-0,240875	0,000782	1,89882
0,000784	2,71406	0,000784	4,17866
0,000786	4,62961	0,000786	4,87184
0,000788	4,78873	0,000788	3,71226
0,00079	3,09414	0,00079	1,14576
0,000792	0,229387	0,000792	-1,85522
0,000794	-2,73004	0,000794	-4,15403
0,000796	-4,67519	0,000796	-4,88809
0,000798	-4,86071	0,000798	-3,76397
0,0008	-3,21351	0,0008	-1,21586
0,000802	-0,363916	0,000802	1,78673
0,000804	2,61228	0,000804	4,11521
0,000806	4,58806	0,000806	4,88214
0,000808	4,81192	0,000808	3,79311
0,00081	3,19464	0,00081	1,26268
0,000812	0,354039	0,000812	-1,74249
0,000814	-2,62439	0,000814	-4,08832
0,000816	-4,63074	0,000816	-4,89357
0,000818	-4,90549	0,000818	-3,84095
0,00082	-3,31658	0,00082	-1,33375
